state_code,date,commodity,total_allocated_qty
DL,2018-11-30,rice,7349.7300000000005
DL,2018-11-30,wheat,26764.38
DL,2018-12-31,rice,6545.51
DL,2018-12-31,wheat,24711.59
DL,2019-01-31,rice,7200.71
DL,2019-01-31,wheat,27944.71
DL,2019-02-28,rice,6737.88
DL,2019-02-28,wheat,26023.8
DL,2019-03-31,rice,8418.84
DL,2019-03-31,wheat,31410.56
DL,2019-04-30,rice,7374.88
DL,2019-04-30,wheat,28356.6
DL,2019-05-31,rice,6584.5
DL,2019-05-31,wheat,25204.71
DL,2019-06-30,rice,24810.53
DL,2019-06-30,wheat,97873.81
DL,2019-07-31,rice,7391.59
DL,2019-07-31,wheat,28486.52
DL,2019-08-31,rice,6508.41
DL,2019-08-31,wheat,28218.850000000002
DL,2019-09-30,rice,7444.52
DL,2019-09-30,wheat,28702.52
DL,2019-10-31,rice,6157.110000000001
DL,2019-10-31,wheat,23703.16
DL,2019-11-30,rice,69691.06
DL,2019-11-30,wheat,254802.07
DL,2019-12-31,rice,7475.71
DL,2019-12-31,wheat,28889.99
DL,2020-01-31,rice,7466.4
DL,2020-01-31,wheat,28849.95
DL,2020-02-29,rice,7501.19
DL,2020-02-29,wheat,29008.35
DL,2020-03-31,rice,6699.26
DL,2020-03-31,wheat,32441.02
DL,2020-04-30,rice,4923.62
DL,2020-04-30,wheat,18975.07
DL,2020-05-31,rice,6305.47
DL,2020-05-31,wheat,23663.78
DL,2020-06-30,rice,9337.02
DL,2020-06-30,wheat,36395.76
DL,2020-07-31,rice,6563.84
DL,2020-07-31,wheat,25303.22
DL,2020-08-31,rice,6962.35
DL,2020-08-31,wheat,27265.59
DL,2020-09-30,rice,6600.02
DL,2020-09-30,wheat,25444.09
DL,2020-10-31,rice,6622.75
DL,2020-10-31,wheat,22996.26
DL,2020-11-30,rice,6645.25
DL,2020-11-30,wheat,25638.559999999998
DL,2020-12-31,rice,7658.2
DL,2020-12-31,wheat,29654.3
DL,2021-01-31,rice,6982.91
DL,2021-01-31,wheat,27024.77
DL,2021-02-28,rice,78262.30999999998
DL,2021-02-28,wheat,293690.15
DL,2021-03-31,rice,75846.24
DL,2021-03-31,wheat,288328.22000000003
DL,2021-04-30,rice,76704.72
DL,2021-04-30,wheat,295319.1099999999
DL,2021-05-31,rice,78308.93
DL,2021-05-31,wheat,293946.34
DL,2021-06-30,rice,77319.36
DL,2021-06-30,wheat,289746.0
DL,2021-07-31,rice,14685.69
DL,2021-07-31,wheat,57698.31
DL,2021-08-31,rice,14683.23
DL,2021-08-31,wheat,57696.35
GA,2017-08-31,rice,2.51
GA,2017-09-30,rice,2.94
GA,2017-11-30,rice,2944.12
GA,2017-12-31,rice,2940.3199999999997
GA,2018-01-31,rice,5555.31
GA,2018-02-28,rice,5412.52
GA,2018-03-31,rice,5299.37
GA,2018-04-30,rice,5385.26
GA,2018-05-31,rice,5495.1
GA,2018-06-30,rice,5494.49
GA,2018-07-31,rice,2548.58
GA,2018-08-31,rice,2970.27
GA,2018-09-30,rice,2992.54
GA,2018-10-31,rice,5191.63
GA,2018-11-30,rice,5484.17
GA,2018-12-31,rice,5523.05
GA,2019-01-31,rice,5512.719999999999
GA,2019-02-28,rice,5391.99
GA,2019-03-31,rice,5711.07
GA,2019-04-30,rice,5731.17
GA,2019-05-31,rice,5733.1900000000005
GA,2019-06-30,rice,5733.09
GA,2019-07-31,rice,5755.23
GA,2019-08-31,rice,5749.29
GA,2019-09-30,rice,5779.38
GA,2019-10-31,rice,5763.59
GA,2019-11-30,rice,5736.71
GA,2019-12-31,rice,5771.98
GA,2020-01-31,rice,5731.87
GA,2020-02-29,rice,5742.52
GA,2020-03-31,rice,5742.13
GA,2020-04-30,rice,2929.51
GA,2020-05-31,rice,5865.32
GA,2020-06-30,rice,5663.64
GA,2020-07-31,rice,5757.200000000001
GA,2020-08-31,rice,5762.24
GA,2020-09-30,rice,5761.38
GA,2020-10-31,rice,5737.82
GA,2020-11-30,rice,2931.85
GA,2020-12-31,rice,2931.76
GA,2021-01-31,rice,2932.5299999999997
GA,2021-02-28,rice,2932.59
GA,2021-03-31,rice,2932.99
GA,2021-04-30,rice,2932.39
GA,2021-05-31,rice,2931.6800000000003
GA,2021-06-30,rice,2931.44
GA,2021-07-31,rice,2931.32
GA,2021-08-31,rice,2931.05
GJ,2017-08-31,rice,51.88
GJ,2017-08-31,wheat,122.3
GJ,2017-09-30,rice,52.019999999999996
GJ,2017-09-30,wheat,122.62
GJ,2017-10-31,wheat,138253.55
GJ,2017-11-30,rice,92720.23999999999
GJ,2017-11-30,wheat,119883.08
GJ,2017-12-31,rice,92364.92
GJ,2017-12-31,wheat,119984.28
GJ,2018-01-31,rice,77306.58
GJ,2018-01-31,wheat,120038.85
GJ,2018-02-28,rice,77326.34
GJ,2018-02-28,wheat,120067.53
GJ,2018-03-31,rice,58516.36
GJ,2018-03-31,wheat,137898.02
GJ,2018-04-30,rice,58034.69
GJ,2018-04-30,wheat,136774.07
GJ,2018-05-31,rice,57750.3
GJ,2018-05-31,wheat,136109.99
GJ,2018-06-30,rice,57488.44
GJ,2018-06-30,wheat,135498.21
GJ,2018-07-31,rice,56619.55
GJ,2018-07-31,wheat,133467.34
GJ,2018-08-31,rice,56088.56
GJ,2018-08-31,wheat,132226.06
GJ,2018-09-30,rice,55703.7
GJ,2018-09-30,wheat,131326.51
GJ,2018-10-31,rice,55128.67
GJ,2018-10-31,wheat,129980.89
GJ,2018-11-30,rice,54013.5
GJ,2018-11-30,wheat,127374.07
GJ,2018-12-31,rice,53564.8
GJ,2018-12-31,wheat,126326.61
GJ,2019-01-31,rice,52893.09
GJ,2019-01-31,wheat,124758.94
GJ,2019-02-28,rice,52436.68
GJ,2019-02-28,wheat,123693.2
GJ,2019-03-31,rice,52092.84
GJ,2019-03-31,wheat,122892.19
GJ,2019-04-30,rice,52162.73
GJ,2019-04-30,wheat,122209.72
GJ,2019-05-31,rice,52287.28
GJ,2019-05-31,wheat,123349.38
GJ,2019-06-30,rice,52134.49
GJ,2019-06-30,wheat,122993.01
GJ,2019-07-31,rice,51938.11
GJ,2019-07-31,wheat,122535.86
GJ,2019-08-31,rice,51856.54
GJ,2019-08-31,wheat,122347.18
GJ,2019-09-30,rice,51826.47
GJ,2019-09-30,wheat,122277.65
GJ,2019-10-31,rice,51833.07
GJ,2019-10-31,wheat,122293.14
GJ,2019-11-30,rice,51896.35
GJ,2019-11-30,wheat,122442.24
GJ,2019-12-31,rice,51622.2
GJ,2019-12-31,wheat,121801.95
GJ,2020-01-31,rice,51474.83
GJ,2020-01-31,wheat,121454.55
GJ,2020-02-29,rice,51363.24
GJ,2020-02-29,wheat,121193.54
GJ,2020-03-31,rice,51198.15
GJ,2020-03-31,wheat,120808.73
GJ,2020-04-30,rice,53043.21
GJ,2020-04-30,wheat,125110.85
GJ,2020-05-31,rice,52993.7
GJ,2020-05-31,wheat,125000.63
GJ,2020-06-30,rice,52940.15
GJ,2020-06-30,wheat,124871.5
GJ,2020-07-31,rice,52170.37
GJ,2020-07-31,wheat,124905.18
GJ,2020-08-31,rice,52251.65
GJ,2020-08-31,wheat,125082.63
GJ,2020-10-31,rice,52447.3
GJ,2020-10-31,wheat,125552.31
GJ,2020-11-30,rice,52588.47
GJ,2020-11-30,wheat,125887.89
GJ,2020-12-31,rice,51791.72
GJ,2020-12-31,wheat,124009.39
GJ,2021-01-31,rice,52557.5
GJ,2021-01-31,wheat,125828.27
GJ,2021-02-28,rice,53606.54
GJ,2021-02-28,wheat,128311.07
GJ,2021-03-31,rice,53870.8
GJ,2021-03-31,wheat,128933.35
GJ,2021-04-30,rice,53897.9
GJ,2021-04-30,wheat,128996.98999999999
GJ,2021-05-31,rice,53895.95
GJ,2021-05-31,wheat,128992.73999999999
GJ,2021-06-30,rice,53924.45
GJ,2021-06-30,wheat,112868.91
GJ,2021-07-31,rice,54067.130000000005
GJ,2021-07-31,wheat,129392.64
GJ,2021-08-31,rice,53940.590000000004
GJ,2021-08-31,wheat,127193.71
GJ,2021-09-30,rice,56850.88
